CTUID,DGUID,CTNAME,LANDAREA,PRUID,CMA_Name,CT_Name,Total_Commuters,Car_Drivers,Median_Income,Pct_Car_Commute,Distance_to_Transit_m,Dist_KM,local_I,local_p,lisa_quad,local_p_fdr,lisa_sig_fdr,lisa_cluster,sig_label,centroid_x,centroid_y
5350516.43,2021S05075350516.43,0516.43,1.2712,35,Toronto,516.43,1080.0,805.0,108000.0,74.53703703703704,1684.3427610854942,1.6843427610854942,0.1778380360702189,0.067,1,0.11144554455445546,False,Not Significant,Not significant,603599.6403344155,4824044.418982212
5350516.44,2021S05075350516.44,0516.44,1.2777,35,Toronto,516.44,1375.0,1020.0,120000.0,74.18181818181819,1919.9419578605323,1.9199419578605323,0.14549726471104157,0.076,1,0.12007523510971788,False,Not Significant,Not significant,603147.9963004768,4823519.443561705
5350520.09,2021S05075350520.09,0520.09,0.2733,35,Toronto,520.09,1960.0,1405.0,78000.0,71.68367346938776,284.4614266403162,0.28446142664031615,-0.006805917072035137,0.442,4,0.4558690313778991,False,Not Significant,Not significant,610321.4649373948,4827225.980434525
5350528.44,2021S05075350528.44,0528.44,0.6838,35,Toronto,528.44,660.0,515.0,116000.0,78.03030303030303,713.7829476445942,0.7137829476445942,0.2044718271837433,0.202,1,0.24611120064464143,False,Not Significant,Not significant,610018.8992441744,4830067.522399267
5350528.45,2021S05075350528.45,0528.45,0.9847,35,Toronto,528.45,1640.0,1185.0,97000.0,72.2560975609756,690.3408715108973,0.6903408715108973,0.061161471226669824,0.163,1,0.20957142857142858,False,Not Significant,Not significant,609368.1102551969,4829296.924354883
5350528.46,2021S05075350528.46,0528.46,0.8854,35,Toronto,528.46,2275.0,1705.0,126000.0,74.94505494505495,2591.9540291620588,2.591954029162059,0.1918494396460638,0.108,1,0.15581679389312977,False,Not Significant,Not significant,604562.5478074146,4828175.5411960045
5370200.00,2021S05075370200.00,0200.00,16.1661,35,Hamilton,200.0,700.0,570.0,142000.0,81.42857142857143,1661.1637427024486,1.6611637427024486,0.7132972652746571,0.002,1,0.009362229102167182,True,High-High,FDR-significant,591422.1104967032,4797003.349051039
5370201.00,2021S05075370201.00,0201.00,6.2048,35,Hamilton,201.0,1450.0,1200.0,106000.0,82.75862068965517,87.40170894619516,0.08740170894619516,0.6969285585986045,0.003,1,0.01249586776859504,True,High-High,FDR-significant,592937.7395292948,4796160.362622314
5370202.00,2021S05075370202.00,0202.00,3.0414,35,Hamilton,202.0,1545.0,1280.0,87000.0,82.84789644012946,1650.3612835903118,1.6503612835903119,0.40843645413827506,0.171,1,0.21600000000000003,False,Not Significant,Not significant,592595.8355922787,4794614.339078825
5370203.00,2021S05075370203.00,0203.00,1.9776,35,Hamilton,203.0,840.0,715.0,111000.0,85.11904761904762,1808.1831564903625,1.8081831564903625,0.7451224299015101,0.084,1,0.12960000000000002,False,Not Significant,Not significant,594704.157377681,4796251.125463674
5370204.00,2021S05075370204.00,0204.00,1.8316,35,Hamilton,204.0,1640.0,1285.0,87000.0,78.35365853658537,2854.8107164397425,2.8548107164397423,0.413923744973779,0.015,1,0.03951219512195121,True,High-High,FDR-significant,595889.090789884,4796610.492469256
5350430.05,2021S05075350430.05,0430.05,2.1488,35,Toronto,430.05,2345.0,1975.0,131000.0,84.22174840085287,1327.1144163948259,1.3271144163948259,0.9273010736804559,0.002,1,0.009362229102167182,True,High-High,FDR-significant,641673.3341720885,4870050.118989509
5370206.00,2021S05075370206.00,0206.00,1.1285,35,Hamilton,206.0,1155.0,805.0,72000.0,69.6969696969697,1418.7539337299847,1.4187539337299848,0.01574169151613301,0.029,1,0.0625506419400856,False,Not Significant,Not significant,596756.5561460401,4797990.471359869
5350528.47,2021S05075350528.47,0528.47,1.6088,35,Toronto,528.47,1540.0,1205.0,124000.0,78.24675324675324,2412.34083729989,2.4123408372998902,0.2544634699071424,0.119,1,0.1670640668523677,False,Not Significant,Not significant,605299.474390766,4827769.103857696
5370208.00,2021S05075370208.00,0208.00,1.7225,35,Hamilton,208.0,1220.0,960.0,97000.0,78.68852459016394,1441.675916477829,1.441675916477829,0.3583482407372684,0.037,1,0.07429482071713146,False,Not Significant,Not significant,595365.4971077245,4800236.556417033
5370209.00,2021S05075370209.00,0209.00,0.7818,35,Hamilton,209.0,615.0,495.0,104000.0,80.48780487804879,2063.090686574435,2.063090686574435,0.48470418195610065,0.047,1,0.08805947955390335,False,Not Significant,Not significant,595512.2698084454,4801184.143188825
5370210.00,2021S05075370210.00,0210.00,1.1919,35,Hamilton,210.0,860.0,695.0,96000.0,80.81395348837209,1302.418995414078,1.302418995414078,0.4306495668341517,0.081,1,0.126259793814433,False,Not Significant,Not significant,596198.2971845426,4800650.114505415
5370211.00,2021S05075370211.00,0211.00,1.7458,35,Hamilton,211.0,1565.0,1195.0,88000.0,76.35782747603834,306.27382884270315,0.30627382884270316,0.24431997580665687,0.043,1,0.08335384615384614,False,Not Significant,Not significant,596771.4250820347,4799584.58716806
