Split,Sample,N,R2,RMSE,MAE
Random,Train,1134,0.9677544255327712,2.8472584985089044,2.1939407300719904
Random,Test,378,0.9104271498701598,4.860642069207855,3.587082741115849
Spatial,Train,1265,0.9703944883170667,2.8130141795473924,2.1489680720341933
Spatial,Test,247,0.776937427852044,6.152704522864211,4.805284523656729
