CTUID,DGUID,CTNAME,LANDAREA,PRUID,CMA_Name,CT_Name,Total_Commuters,Car_Drivers,Median_Income,Pct_Car_Commute,Distance_to_Transit_m,Dist_KM,local_I,local_p,lisa_quad,local_p_fdr,lisa_sig_fdr,lisa_cluster,sig_label,ols_pred,ols_resid,centroid_x,centroid_y,spatial_block,spatial_role,xgb_spatial_pred,xgb_spatial_resid,xgb_full_pred,xgb_full_resid,gs_base,gs_geo,gs_income_main,gs_dist_main,gs_income_geo_inter,gs_dist_geo_inter,gs_reconstructed_pred
5370001.08,2021S05075370001.08,0001.08,1.6383,35,Hamilton,1.08,2505.0,2025.0,108000.0,80.83832335329342,5808.303785569448,5.808303785569448,0.45850650450918684,0.061,1,0.10552860411899313,False,Not Significant,Not significant,73.79448608136985,7.0438372719235645,592479.5370921912,4783594.971266028,0,train,,,81.86548,-1.0271551623315816,69.259155,9.993784567154863,3.070745595170575,4.337068014272852,-1.707706823575994,-3.0875681091648723,81.86547851729492
5370001.09,2021S05075370001.09,0001.09,1.9699,35,Hamilton,1.09,1725.0,1330.0,108000.0,77.10144927536233,6430.335994699919,6.430335994699919,0.47374009747178936,0.002,1,0.009362229102167182,True,High-High,FDR-significant,74.5584078579482,2.5430414174141305,591417.595994432,4783110.670026519,0,train,,,81.33499,-4.233542179715798,69.259155,8.486004773568324,3.0796354951002574,4.354111133658745,-0.9049824744388256,-2.9389336980085616,81.33499050331743
5370120.02,2021S05075370120.02,0120.02,76.965,35,Hamilton,120.02,675.0,575.0,121000.0,85.18518518518519,12121.077731106134,12.121077731106134,1.0955115760527752,0.001,1,0.006222222222222222,True,High-High,FDR-significant,84.28659251123473,0.8985926739504606,579991.1058632007,4780646.963744818,0,train,,,87.44042,-2.2552368729202783,69.259155,11.644897979240682,4.484845308475343,6.798870476353406,-1.6140005401891973,-3.133344530695662,87.44042396662206
5370140.04,2021S05075370140.04,0140.04,3.027,35,Hamilton,140.04,1175.0,990.0,137000.0,84.25531914893617,4220.295999163577,4.220295999163577,0.8960649634377794,0.004,1,0.01566839378238342,True,High-High,FDR-significant,77.95509656127825,6.300222587657913,588747.4293503984,4797011.782977048,0,train,,,83.56385,0.6914687461041353,69.259155,7.906068039009188,5.59353856777987,3.193770635387177,-0.4166434479223844,-1.97204152497445,83.56384754271689
5320202.11,2021S05075320202.11,0202.11,2.9617,35,Oshawa,202.11,2955.0,2615.0,104000.0,88.49407783417935,832.2094442578165,0.8322094442578165,1.3366097177901295,0.001,1,0.006222222222222222,True,High-High,FDR-significant,66.84043616693582,21.653641667243534,683950.844614446,4863552.127795101,3,train,,,87.69402,0.8000547018551316,69.259155,14.418600720575265,3.0269026308491,0.4190936473585311,0.2909570783900971,0.2793137817663947,87.6940231323769
5320015.02,2021S05075320015.02,0015.02,2.2367,35,Oshawa,15.02,1510.0,1195.0,94000.0,79.13907284768213,6497.4696480103175,6.497469648010317,0.2682299828905488,0.161,1,0.20806153846153846,False,Not Significant,Not significant,71.69078811452981,7.44828473315232,670095.7085443956,4867752.953187261,3,train,,,79.87876,-0.7396884438217768,69.259155,8.905131147972833,0.5278032428015512,4.096859321254031,0.3783333424898389,-3.2885200834071933,79.87876224454857
5350420.13,2021S05075350420.13,0420.13,1.8675,35,Toronto,420.13,1715.0,1260.0,81000.0,73.46938775510205,574.6900720769205,0.5746900720769205,0.15846504108410928,0.031,1,0.06546368715083799,False,Not Significant,Not significant,61.67763629072843,11.791751464373618,627082.6527662316,4855531.196390642,2,test,72.35881,1.1105773302973603,73.521515,-0.05212713747607722,69.259155,6.049129880583709,-2.8832387046304895,-1.7454236818140902,0.8251404946124267,2.0167516279377837,73.52151489012684
5350422.03,2021S05075350422.03,0422.03,3.5903,35,Toronto,422.03,1705.0,1335.0,128000.0,78.2991202346041,3210.963694525795,3.2109636945257947,0.40081299773790924,0.015,1,0.03951219512195121,True,High-High,FDR-significant,74.81905738030089,3.4800628543032133,628930.4161409014,4861075.875848467,2,test,79.411095,-1.1119744309232402,81.44196,-3.1428429611966777,69.259155,7.734801988137224,5.058752965340349,2.5393405826843196,-0.9474737090406062,-2.2026119989394797,81.4419651016193
5350422.04,2021S05075350422.04,0422.04,0.8388,35,Toronto,422.04,915.0,735.0,119000.0,80.32786885245902,2454.1393820419007,2.454139382041901,0.47308717799612454,0.131,1,0.18006545454545453,False,Not Significant,Not significant,71.99312489658935,8.33474395586967,628587.7325824057,4860237.228711678,2,test,79.44486,0.8830064867363632,80.93393,-0.6060605909003556,69.259155,7.3944472922552915,4.381213298826542,1.3311857194930372,-0.9976919562574048,-0.43437923219772495,80.93393039555724
5350422.05,2021S05075350422.05,0422.05,1.5519,35,Toronto,422.05,1630.0,1265.0,120000.0,77.60736196319019,1618.5918042768865,1.6185918042768865,0.25825189535696125,0.093,1,0.14005577689243026,False,Not Significant,Not significant,71.17770258836143,6.429659374828759,627674.3706634715,4860095.942679976,2,test,79.33669,-1.7293308468684074,79.93997,-2.3326099606379387,69.259155,6.795066347764305,4.212453557802865,1.2998517165314158,-1.1558636902962962,-0.4706922360820044,79.93997096915778
5350422.06,2021S05075350422.06,0422.06,1.8382,35,Toronto,422.06,1480.0,1020.0,63200.0,68.91891891891892,507.25370332933863,0.5072537033293386,-0.011318520919732872,0.081,2,0.126259793814433,False,Not Significant,Not significant,57.844017757383526,11.074901161535394,626349.1996732625,4859546.262235464,2,test,67.035614,1.8833049052470443,69.23508,-0.3161579853779557,69.259155,6.178340879039977,-6.7559633937225465,-2.3805251854123455,1.5283325763834832,1.4057367520590112,69.23507690178508
5350424.07,2021S05075350424.07,0424.07,2.0988,35,Toronto,424.07,2135.0,1795.0,125000.0,84.07494145199064,1060.2579425475842,1.0602579425475842,0.7678045838309914,0.019,1,0.04717241379310345,True,High-High,FDR-significant,71.54560452714897,12.529336924841672,623892.3890146165,4862014.646511961,2,test,80.817245,3.257695968592202,83.07515,0.999791915857827,69.259155,9.691623332126612,4.66208236403,0.9600833282759531,-1.2970839707361228,-0.20070888393300784,83.07515144320094
5350424.08,2021S05075350424.08,0424.08,2.3112,35,Toronto,424.08,2030.0,1710.0,137000.0,84.23645320197043,1183.5917357708122,1.1835917357708121,0.6338795777094897,0.045,1,0.08580075662042876,False,Not Significant,Not significant,74.22570042747223,10.0107527744982,624022.6268937835,4860989.859994864,2,test,81.57675,2.659701492986059,83.20892,1.0275298621266842,69.259155,9.43620599655129,5.193316368031477,0.8331972207612598,-1.3254128416818487,-0.18754153866338963,83.2089204784363
