"COL0","COL1","COL2","COL3","COL4","COL5","COL6"
"5350474.00","535","Toronto","0474.00",2155.00,1925.00,100000.00
"5350475.00","535","Toronto","0475.00",2610.00,2290.00,86000.00
"5350476.01","535","Toronto","0476.01",85.00,75.00,
"5350476.02","535","Toronto","0476.02",900.00,820.00,87000.00
"5350480.01","535","Toronto","0480.01",1475.00,1215.00,78500.00
"5350480.03","535","Toronto","0480.03",1055.00,940.00,116000.00
"5350480.04","535","Toronto","0480.04",560.00,425.00,84000.00
"5350480.05","535","Toronto","0480.05",2365.00,2055.00,131000.00
"5350480.06","535","Toronto","0480.06",885.00,760.00,130000.00
"5350481.02","535","Toronto","0481.02",1765.00,1465.00,96000.00
"5350481.03","535","Toronto","0481.03",,,
"5350481.04","535","Toronto","0481.04",2355.00,2020.00,128000.00
"5350481.05","535","Toronto","0481.05",1665.00,1475.00,125000.00
"5350482.00","535","Toronto","0482.00",3810.00,3375.00,123000.00
"5350483.01","535","Toronto","0483.01",2260.00,1955.00,106000.00
"5350483.02","535","Toronto","0483.02",2440.00,2265.00,117000.00
"5350484.02","535","Toronto","0484.02",2785.00,2530.00,116000.00
"5350484.03","535","Toronto","0484.03",1635.00,1480.00,96000.00
"5350484.04","535","Toronto","0484.04",375.00,330.00,119000.00
"5350485.02","535","Toronto","0485.02",3500.00,2925.00,90000.00
"5350485.03","535","Toronto","0485.03",55.00,55.00,
"5350485.04","535","Toronto","0485.04",1615.00,1335.00,99000.00
"5350485.05","535","Toronto","0485.05",1935.00,1700.00,119000.00
"5350500.01","535","Toronto","0500.01",1440.00,1025.00,75000.00
"5350500.02","535","Toronto","0500.02",1450.00,1085.00,76000.00
"5350501.01","535","Toronto","0501.01",1560.00,1195.00,95000.00
"5350501.02","535","Toronto","0501.02",1850.00,1380.00,132000.00
"5350502.01","535","Toronto","0502.01",2125.00,1535.00,102000.00
"5350502.02","535","Toronto","0502.02",715.00,515.00,98000.00
"5350503.00","535","Toronto","0503.00",1560.00,1150.00,91000.00
"5350504.00","535","Toronto","0504.00",810.00,580.00,126000.00
"5350505.01","535","Toronto","0505.01",1030.00,795.00,198000.00
"5350505.02","535","Toronto","0505.02",1370.00,1125.00,212000.00
"5350506.00","535","Toronto","0506.00",720.00,540.00,238000.00
"5350507.00","535","Toronto","0507.00",1080.00,845.00,138000.00
"5350508.00","535","Toronto","0508.00",1040.00,845.00,114000.00
"5350509.01","535","Toronto","0509.01",1755.00,1425.00,111000.00
"5350509.02","535","Toronto","0509.02",875.00,690.00,124000.00
"5350510.00","535","Toronto","0510.00",1630.00,1325.00,128000.00
"5350511.01","535","Toronto","0511.01",2065.00,1305.00,70000.00
"5350511.02","535","Toronto","0511.02",1535.00,1140.00,88000.00
"5350512.00","535","Toronto","0512.00",1930.00,1250.00,77000.00
"5350513.01","535","Toronto","0513.01",1910.00,1510.00,116000.00
"5350513.02","535","Toronto","0513.02",1940.00,1330.00,69500.00
"5350513.03","535","Toronto","0513.03",1015.00,610.00,80000.00
"5350513.04","535","Toronto","0513.04",1190.00,935.00,115000.00
"5350514.01","535","Toronto","0514.01",665.00,575.00,184000.00
"5350514.02","535","Toronto","0514.02",1505.00,1050.00,87000.00
"5350515.01","535","Toronto","0515.01",1255.00,940.00,122000.00
"5350515.02","535","Toronto","0515.02",1030.00,815.00,102000.00
"5350516.01","535","Toronto","0516.01",1555.00,1230.00,125000.00
"5350516.02","535","Toronto","0516.02",1595.00,1295.00,124000.00
"5350516.03","535","Toronto","0516.03",2120.00,1615.00,94000.00
"5350516.04","535","Toronto","0516.04",1925.00,1265.00,81000.00
"5350516.05","535","Toronto","0516.05",2110.00,1655.00,105000.00
"5350516.06","535","Toronto","0516.06",1445.00,1080.00,111000.00
"5350516.08","535","Toronto","0516.08",1955.00,1365.00,86000.00
"5350516.09","535","Toronto","0516.09",2175.00,1700.00,103000.00
"5350516.11","535","Toronto","0516.11",1025.00,840.00,144000.00
"5350516.16","535","Toronto","0516.16",1205.00,920.00,103000.00
"5350516.17","535","Toronto","0516.17",910.00,710.00,97000.00
"5350516.18","535","Toronto","0516.18",950.00,750.00,120000.00
"5350516.20","535","Toronto","0516.20",1965.00,1470.00,140000.00
"5350516.21","535","Toronto","0516.21",850.00,705.00,153000.00
"5350516.22","535","Toronto","0516.22",2165.00,1720.00,148000.00
"5350516.23","535","Toronto","0516.23",1675.00,1295.00,140000.00
"5350516.24","535","Toronto","0516.24",1170.00,990.00,144000.00
"5350516.25","535","Toronto","0516.25",1030.00,775.00,115000.00
"5350516.26","535","Toronto","0516.26",1980.00,1540.00,118000.00
